ticker,alias,nome_do_ativo,categoria
EUR/USD,EURUSD,Euro vs US Dollar,Outros
USD/JPY,USDJPY,US Dollar vs Yen,Outros
USD/CHF,USDCHF,US Dollar vs Swiss Franc,Outros
GBP/USD,GBPUSD,Pound Sterling vs US Dollar,Outros
GBP/JPY,GBPJPY,Pound Sterling vs Yen,Outros
XAU/USD,XAUUSD,Gold vs US Dollar,Outros
XAG/USD,XAGUSD,Silver vs US Dollar,Outros
AUD/CAD,AUDCAD,Australian Dollar vs Canadian Dollar,Outros
EUR/JPY,EURJPY,Euro vs Yen,Outros
AUD/USD,AUDUSD,Australian Dollar vs US Dollar,Outros
0005.HK/HKD,0005,HSBC Holdings Plc,Outros
0027.HK/HKD,0027,Galaxy Entertainment Group Ltd,Outros
0175.HK/HKD,0175,Geely Automobile Holdings Ltd,Outros
0291.HK/HKD,0291,China Resources Beer Holdings Co Ltd,Outros
0386.HK/HKD,0386,Sinopec Corp,Outros
0388.HK/HKD,0388,HK Exchanges & Clearing Ltd,Outros
0700.HK/HKD,0700,Tencent Holdings Ltd,Outros
0857.HK/HKD,0857,PetroChina Co Ltd,Outros
0883.HK/HKD,0883,China National Offshore Oil Corporation Ltd,Outros
0939.HK/HKD,0939,China Construction Bank Corp,Outros
0941.HK/HKD,0941,China Mobile Ltd,Outros
0998.HK/HKD,0998,CITIC Bank International Corp Ltd,Outros
1093.HK/HKD,1093,CSPC Pharmaceutical Group Ltd,Outros
1177.HK/HKD,1177,Sino Biopharmeceutical Ltd,Outros
1288.HK/HKD,1288,Agricultural Bank of China Ltd,Outros
1299.HK/HKD,1299,AIA Group Ltd,Outros
1398.HK/HKD,1398,Industrial and Commercial Bank of China Ltd,Outros
1810.HK/HKD,1810,Xiaomi Corp,Outros
1918.HK/HKD,1918,Sunac China Holdings Ltd,Outros
2007.HK/HKD,2007,Country Garden Holdings Ltd,Outros
2018.HK/HKD,2018,AAC Technologies Holdings Inc,Outros
2318.HK/HKD,2318,Ping An Insurance Ltd,Outros
2388.HK/HKD,2388,BOC Hong Kong (Holdings) Ltd,Outros
2502.JP/JPY,2502,Asahi Group Holdings Ltd,Outros
2503.JP/JPY,2503,Kirin Brewery Co Ltd,Outros
2628.HK/HKD,2628,China Life Insurance Company Ltd,Outros
2822.HK/HKD,2822,2822 CSOP FTSE China A50 ETF,Outros
2828.HK/HKD,2828,Hang Seng H-Share Index ETF,Outros
2836.HK/HKD,2836,iShares Core S&P BSE SENSEX India ETF,Outros
